,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
0,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,1,644,3357,93174,1699.5819612930195,449,272,0.7223865265880879,0.795008605779819,0.8984350140299112,64.0,148.0,138.0,19.801786647299494,17.25021671593457,17.130982561248054,67.43530851212262,147.8418103957155,136.97923218099663
1,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,2,772,2181,91678,1528.444876303172,472,256,-0.8887603251096061,0.840183041139992,0.9032582243810162,67.0,159.0,145.0,17.890693539368662,11.566722344171035,9.767990686696058,69.48077489446644,159.0302365915115,144.50551392388493
2,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,3,734,1363,70810,1337.0062761231593,395,232,0.9726704301942413,0.8084280904796408,0.917394346124945,69.0,157.0,143.0,19.28994604809976,15.297155931861115,14.182249402186605,70.1895521755709,156.70380883785958,142.80491180499655
3,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,4,1019,2619,75096,1380.0945878777277,390,251,1.169651061544514,0.7659694621224558,0.9196629763887528,84.0,172.0,157.0,26.043650251945554,16.327048552856603,14.370475343659436,87.70294959717691,173.25572940941476,158.81647246820694
4,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,5,1363,1574,206142,2344.9515857022193,847,320,1.064172946577138,0.926063504406686,0.92818709447929,70.0,161.0,146.0,22.406258223110022,16.6072937711376,15.869752925340263,73.96613968109207,161.64305499633747,146.01899185508947
5,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,6,1557,3212,98449,1614.7707781109762,451,287,-0.4498447741733431,0.7716716846196751,0.9046875143584419,60.0,155.0,145.0,16.859529271290672,17.887477866931725,18.241786585815095,64.01372298065984,152.89543718511294,142.66597594669267
6,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,7,1832,2627,101824,1652.5108934811537,475,282,0.6769824573675661,0.8043572215627226,0.8900232505288184,64.0,160.0,148.0,17.018871544353548,15.06016995773311,13.586943219700197,66.654213684531,159.4525205503668,146.80683146243973
7,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,8,2172,1405,121501,1687.9423509862302,566,279,1.4620140386396727,0.8701624130986388,0.9440123691796095,62.0,149.0,134.0,15.874565051581174,16.768350067095405,16.295666585081694,64.11358024691359,148.6268477366255,132.51621399176955
8,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,9,2332,2032,71320,1207.5676759431467,405,228,-0.7872857893113165,0.826680697977438,0.9547012208181623,74.0,165.0,149.0,24.216263978739615,20.42578469558124,19.0059844703002,79.45397439672458,164.13115719513735,147.74027958888936
9,HB_2014009-012_1_25.JPG,HB_2014009-012_1_25.JPG,10,2465,3200,84427,1410.1189744953676,394,275,0.5309487115083857,0.7168945466506991,0.9271579178563585,61.0,153.0,141.0,16.420709436103746,16.335594286518162,16.58061282857577,65.20640560964631,151.717989718807,138.2281050861109
0,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,1,682,3207,62945,1199.7514421272203,334,252,-0.770934566870633,0.6554037179291152,0.8902482144119935,71.0,157.0,144.0,20.66093032985151,15.308198400147791,15.218124653960547,70.96541370106762,157.06669420437214,143.90491548042704
1,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,2,946,2658,88340,1768.8784258493008,468,256,-0.9526126424718778,0.8372167458853728,0.8628554126253895,68.0,152.0,139.0,19.555740255976282,18.043165481731762,18.064646964219616,69.49939437847384,149.3997894474694,137.04713659878422
2,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,3,990,1916,89430,1604.6458864299484,455,258,-0.3444649816915844,0.8239408070383257,0.9079372169993299,69.0,154.0,144.0,22.766265098222252,19.91651001635489,21.20977101276807,72.00854309004909,152.64965503360207,142.92344765120933
3,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,4,1403,1327,80072,1316.337228564847,416,248,1.2312560708121687,0.8024253134518747,0.9308532899325738,65.0,150.0,140.0,19.732710748839725,18.324162469407305,18.744815305137827,66.8457493974098,149.1794532352537,139.69052465936483
4,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,5,1465,3112,80637,1424.1362184380703,395,265,0.5977068801139297,0.7404706498149799,0.897752196034335,65.0,151.0,137.0,21.80799756980752,16.837468803014385,15.770231022595667,70.31432610744581,150.80563271987697,138.46500322436628
5,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,6,1619,2653,65373,1321.0823945689078,344,249,0.4421366843012663,0.688901171625486,0.8770308160828559,54.0,142.0,131.0,12.371049162258936,19.04371256525402,20.02284777111478,55.015312366150646,138.58676497583062,126.7386342776724
6,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,7,2039,1749,142164,2253.613490585595,634,296,-0.6715063077293065,0.8842322259301642,0.8725732699094676,57.0,142.0,131.0,13.45166627943986,14.889582968856391,16.93244204449,59.716606993380836,140.8303989082954,129.10013153914872
7,HB_2014009-010_1_21.JPG,HB_2014009-010_1_21.JPG,8,2185,3066,85826,1510.829652614022,454,248,0.9488685570470815,0.8376056009454247,0.9169052604589547,57.0,140.0,131.0,15.1660408592641,19.79442676189857,20.41985416068378,58.3350422371104,137.94309350422373,127.10770754442179
