,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
0,IMG_0002.JPG,b'advanced_22_W1106-052_2',1,600,2523,46914,920.5655839020934,280,218,1.2295293624118344,0.6276620510919847,0.9543901049719261,63.0,161.0,151.0,15.969282299887826,16.950493156937128,15.374252385729758,66.63679577089506,159.72711188796282,150.30307164325453
1,IMG_0002.JPG,b'advanced_22_W1106-052_2',2,648,2063,51541,1026.3473298326137,291,229,0.8338574629601856,0.615654781304486,0.9387134375113831,63.0,150.0,147.0,14.558456067604478,14.667715456567795,13.458965220191924,65.3266977105161,149.77062475746993,145.4058983313931
2,IMG_0002.JPG,b'advanced_22_W1106-052_2',3,996,2709,61922,1227.7270555095806,333,244,1.332553523223119,0.6806156881187807,0.8943096476025418,57.0,144.0,139.0,13.128322144514867,15.086003370545392,13.460608163366414,59.19718673794028,144.0569112255939,139.45113935498458
3,IMG_0002.JPG,b'advanced_22_W1106-052_2',4,948,3185,34295,862.0630585851518,250,178,1.354296518213766,0.7003619804309213,0.9183536846615252,58.0,149.0,141.0,14.831754715729796,15.895672268597206,14.972277416928355,62.188254505161254,149.31416574327872,142.5044905814428
4,IMG_0002.JPG,b'advanced_22_W1106-052_2',5,1059,1378,52976,1088.5138520739843,304,226,-0.6339322161141593,0.6675542383519351,0.9042896403393476,59.0,143.0,140.0,15.47616861220385,13.745856511087807,12.714400344920726,60.04067956583294,143.3869372345446,140.24067956583295
5,IMG_0002.JPG,b'advanced_22_W1106-052_2',6,1250,1916,36091,863.9625535217634,234,200,-1.1122249720675852,0.5196998752191738,0.9164339038139251,57.0,153.0,153.0,14.046857810673494,14.283380740960567,14.457128854259409,58.3330008312552,150.31792740371293,150.5337212524245
6,IMG_0002.JPG,b'advanced_22_W1106-052_2',7,1430,2819,40091,843.050865276332,278,185,1.3190623418004797,0.7450158762375443,0.9601714805767112,57.0,125.0,120.0,8.823025584896453,14.65484837717956,15.55948902714541,58.07021701172362,127.56819655774507,121.098029433774
7,IMG_0002.JPG,b'advanced_22_W1106-052_2',8,1500,2243,51184,998.5138520739843,285,238,-0.8775904310980316,0.5487841177879874,0.9195005838498158,48.0,120.0,114.0,8.096174095683017,15.961090011621527,16.592796524716867,49.66002383603931,117.77115448488756,111.18451438954341
8,IMG_0002.JPG,b'advanced_22_W1106-052_2',9,1848,1043,35781,839.5189027078675,244,190,-0.9585759219056444,0.6275770439837566,0.9235713179495122,57.0,119.0,113.0,7.458473856667319,12.846636237733653,14.251399741039927,57.6639183901621,119.83077138065958,114.03186137506987
9,IMG_0002.JPG,b'advanced_22_W1106-052_2',10,1936,1919,36695,877.9209229614208,253,189,0.04399132737913475,0.6632361744679163,0.9243771569640024,52.0,140.0,134.0,12.38001260348124,11.64101906223613,11.127908438106084,55.750912955796586,140.54597481877147,135.80416416852893
0,IMG_0003.JPG,b'advanced_22_2010008-008_2',1,555,1662,85822,1541.9595949289333,490,229,1.5488606710800237,0.8841855703217155,0.9076410554703611,50.0,135.0,137.0,16.74311957064445,21.43851368910142,21.32830348812878,53.69012246419874,134.63090618846203,134.95370596940143
