"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"rep",0.00011437457264569,0.00011437457264569,1,13.9999897246624,0.0851720487564825,0.774686887293487
"genotype",0.317219571256466,0.0226585408040333,14,13.9999897262575,16.8732813375421,2.18057927486552e-06
"image",0.0610167617317234,0.00122033523463447,50,750.000002697153,0.908754889301498,0.6538753421843
"genotype:image",0.896231735676675,0.00128033105096668,700,750.000003787506,0.95343235978842,0.739024055865836
