"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"rep",0.0277261031694195,0.0277261031694195,1,13.9925573662272,3.50492354381007,0.0822359466319369
"genotype",1.59993474663713,0.114281053331224,14,13.9922726869642,14.4465434606693,5.79764543772466e-06
"image",0.394007309824296,0.00788014619648591,50,750.141497596733,0.99614827817533,0.483380037484757
"genotype:image",5.50923189080287,0.00787033127257553,700,750.798345593989,0.994907549981974,0.527034726038123
