"genotype","rep","image","openness","SE","df","asymp.LCL","asymp.UCL"
"2014009-046","1","12",3.39726399142358,0.105787138568013,Inf,3.19308854473908,3.60776650798079
"2014010-010","1","12",3.19323932015057,0.102561403729237,Inf,2.99538619757375,3.3974195126001
"W1406-001","1","12",3.21732323599124,0.102947444363221,Inf,3.01871348767524,3.42226005417995
"W1411-017","1","12",3.77252906068307,0.111476806547493,Inf,3.5572020696748,3.99418312156406
"W1425-006","1","12",3.53443015997558,0.107901609876248,Inf,3.3261104256806,3.74907696414327
"2014001-005","2","12",4.02724610961122,0.116635343043241,Inf,3.80188909406825,4.2590912374467
"2014005-019","2","12",3.36361395767889,0.105261921869722,Inf,3.16046791680712,3.57308706842337
"2014005-024","2","12",3.9992329921962,0.114777450934772,Inf,3.77743685706309,4.22735619720203
"2014006-046","2","12",3.54672533306547,0.108089124856928,Inf,3.33803807616179,3.76173965984186
"2014007-001","2","12",3.44001520647568,0.106450670995253,Inf,3.23453926013122,3.65181822269285
"2014008-016","2","12",4.12647201791813,0.118071143289357,Inf,3.89830130738065,4.36113168430187
"2014009-010","2","12",3.73956446986579,0.110988692321035,Inf,3.52519416516172,3.96026184444257
"2014009-012","2","12",3.37759561455858,0.105480468031418,Inf,3.17402123108093,3.58749706790895
"2014009-034","2","12",3.60718307450155,0.10900647964622,Inf,3.39669783524981,3.82399538362599
"2014009-041","2","12",3.67205675527359,0.109982329634986,Inf,3.45965888518956,3.89078169523034
"2014009-046","2","12",3.4630389970519,0.106806310513027,Inf,3.25686601006112,3.67553905391539
"2014010-010","2","12",3.2570182837739,0.103580575674251,Inf,3.0571676208908,3.46319601652971
"W1406-001","2","12",3.28134107644716,0.103966616308234,Inf,3.08073378782488,3.48827543494215
"W1411-017","2","12",3.84182475751793,0.112495978492507,Inf,3.62450022620338,4.06547635870519
"W1425-006","2","12",3.60151357245088,0.108920781821262,Inf,3.39119629784961,3.81815791692485
"2014001-005","1","13",4.03499589304664,0.115289503962701,Inf,3.81219615242062,4.26412270354538
"2014005-019","1","13",3.2616507605351,0.103654211139458,Inf,3.06165577479221,3.4679728161507
"2014005-024","1","13",3.76622863510292,0.111383680052889,Inf,3.55108416867008,3.98770017140847
"2014006-046","1","13",3.76411549790586,0.111352428362609,Inf,3.54903228366043,3.98552578202401
"2014007-001","1","13",3.36675900191422,0.105311121340228,Inf,3.1635165318522,3.57632854184895
"2014008-016","1","13",3.75710971997036,0.111248755439981,Inf,3.54222970091945,3.97831680889398
"2014009-010","1","13",3.71216061561192,0.110581277151383,Inf,3.49858882996712,3.93205947112943
"2014009-012","1","13",3.24126981448222,0.103329853693454,Inf,3.04191055765162,3.44695614118554
"2014009-034","1","13",3.54058034846827,0.107995447747489,Inf,3.33207669532527,3.75541107148398
"2014009-041","1","13",3.55896804777001,0.108275517120691,Inf,3.34991546874236,3.77434769667037
"2014009-046","1","13",3.43988801636951,0.105231617239283,Inf,3.23672944421387,3.64922980386167
"2014010-010","1","13",3.22321798768884,0.103041710911238,Inf,3.02442348033378,3.42833956491661
"W1406-001","1","13",3.23609473595604,0.104553049769091,Inf,3.03441858017551,3.44425900421799
"W1411-017","1","13",3.69401890968078,0.110310735239124,Inf,3.48097737644032,3.91338751279395
"W1425-006","1","13",3.58349322436626,0.1062495380453,Inf,3.3782733627034,3.79476389858901
"2014001-005","2","13",4.10665083655654,0.116308675907679,Inf,3.88185355562431,4.33777518736149
"2014005-019","2","13",3.32610593891358,0.104673383084471,Inf,3.12411341286441,3.53442553483546
"2014005-024","2","13",3.83546670649604,0.112402851997902,Inf,3.61832469975692,4.05893578310787
"2014006-046","2","13",3.83333423116686,0.112371600307623,Inf,3.61625347661514,4.05674205559129
"2014007-001","2","13",3.43223945438512,0.106330293285241,Inf,3.22699944401682,3.64380653462613
"2014008-016","2","13",3.8262643017996,0.112267927384994,Inf,3.60938674244241,4.04946893102951
"2014009-010","2","13",3.78090217071453,0.111600449096396,Inf,3.56533284476345,4.00279856653832
"2014009-012","2","13",3.30552428476806,0.104349025638467,Inf,3.10416748763117,3.51320815177766
"2014009-034","2","13",3.60772182657575,0.109014619692503,Inf,3.39722063312647,3.82455008989774
"2014009-041","2","13",3.62628282909711,0.109294689065704,Inf,3.41523270976318,3.84366001830375
"2014009-046","2","13",3.50607238933258,0.106245595873633,Inf,3.30092683152902,3.71740191438566
"2014010-010","2","13",3.28729415903645,0.104060882856252,Inf,3.08650211137511,3.4944132765705
"W1406-001","2","13",3.30029814256954,0.105591988474698,Inf,3.09658612699201,3.51049911592476
"W1411-017","2","13",3.76259305703043,0.111329907184137,Inf,3.5475539834837,3.98395920044989
"W1425-006","2","13",3.65103845906804,0.107246211737122,Inf,3.44386515286487,3.8642625778311
