"genotype","rep","image","width","SE","df","asymp.LCL","asymp.UCL"
"2014010-010","2","17",1.82613631249243,0.108620069375368,Inf,1.6194496222631,2.04523247021103
"W1406-001","2","17",1.81560536912617,0.108306422009514,Inf,1.60953341643775,2.03408678930384
"W1411-017","2","17",2.31735645397161,0.122360121766033,Inf,2.08373975591088,2.5633826195216
"W1425-006","2","17",2.38760239004176,0.124200825416443,Inf,2.15037797912002,2.63723626845277
"2014001-005","1","18",2.49398714634635,0.126937688317512,Inf,2.25139858270791,2.7489851774741
"2014005-019","1","18",1.72203815401682,0.105478723274871,Inf,1.52150838900744,1.93497738651546
"2014005-024","1","18",2.32667548056346,0.121884299297344,Inf,2.09391855557377,2.57169622938116
"2014006-046","1","18",1.83011321971705,0.10873827988556,Inf,1.62319484114515,2.04944106577821
"2014007-001","1","18",1.86289807680196,0.109707931527224,Inf,1.65407921593485,2.08412640515834
"2014008-016","1","18",2.325587864201,0.123414549472616,Inf,2.08998958231062,2.57376572657975
"2014009-010","1","18",1.87905602771119,0.110182683250755,Inf,1.66930667056436,2.10121485234729
"2014009-012","1","18",2.44132816387156,0.12559043372313,Inf,2.20138017071609,2.69368562451629
"2014009-034","1","18",2.27996233091947,0.121368871957083,Inf,2.04828844678397,2.52404568254424
"2014009-041","1","18",2.41459076012567,0.124900807688898,Inf,2.1759944091601,2.6655965785805
"2014009-046","1","18",2.0584930459936,0.115323597511995,Inf,1.83866768204713,2.29072787742933
"2014010-010","1","18",2.0082673459216,0.113908004308181,Inf,1.79121649367136,2.23772766566109
"W1406-001","1","18",1.61100149355932,0.102718329404632,Inf,1.41596705732949,1.81861550969989
"W1411-017","1","18",2.16194993110961,0.118186071113668,Inf,1.93651422199716,2.39979510771131
"W1425-006","1","18",2.19349278684379,0.119862537082321,Inf,1.96485676666557,2.43470927821946
"2014001-005","2","18",2.55661905487173,0.128521708542768,Inf,2.310925868641,2.81472170859176
"2014005-019","2","18",1.77414771768348,0.107062743500234,Inf,1.5705133300816,1.99019157277462
"2014005-024","2","18",2.38718331081155,0.123462825242792,Inf,2.15133291213862,2.63529829394949
"2014006-046","2","18",1.88382109805902,0.110322300110923,Inf,1.67379809689463,2.10625356671268
"2014007-001","2","18",1.91708142117626,0.111291951752588,Inf,1.70515793771665,2.14141437212513
