"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"rep",4.50956749768048e-05,4.50956749768048e-05,1,12.9999993974286,0.799177483919286,0.387590528339762
"genotype",0.00299406302127306,0.000213861644376647,14,12.999999399096,3.79001779988169,0.010780575857586
"image",0.00202786495091253,4.05572990182505e-05,50,699.999999170995,0.718749197137843,0.927808901786849
"genotype:image",0.0339516421720238,4.8502345960034e-05,700,700.000000127726,0.859549897600161,0.977274491665137
