"genotype","rep","image","length","SE","df","asymp.LCL","asymp.UCL"
"W1406-001","1","10",3.00571185884584,0.26036709843612,Inf,2.51706185283341,3.53768212422139
"W1411-017","1","10",3.37854251883661,0.276043245790254,Inf,2.85916782859374,3.94123746844261
"W1425-006","1","10",3.98286517256217,0.299716210818852,Inf,3.41709232345596,4.59195828103149
"2014001-005","2","10",4.3327371106807,0.314902328891579,Inf,3.73751978156284,4.9719142281134
"2014005-019","2","10",2.90900028582069,0.26027507143445,Inf,2.4212349364318,3.44149446860202
"2014005-024","2","10",3.38077921401441,0.276134605072955,Inf,2.86122546286779,3.94365322452415
"2014006-046","2","10",2.48980965954215,0.235481275896088,Inf,2.04966346167585,2.9727331012556
"2014007-001","2","10",3.254313126594,0.270920644357904,Inf,2.74497855066568,3.80696796188543
"2014008-016","2","10",3.37553481505269,0.275920346466981,Inf,2.85640100305715,3.93798888641135
"2014009-010","2","10",3.19857286591543,0.266910582122993,Inf,2.69682777442461,3.74309803053199
"2014009-012","2","10",3.9810101661865,0.299646406769645,Inf,3.41537413050272,4.5899664612334
"2014009-034","2","10",3.21548649461066,0.269299641828941,Inf,2.70932902525796,3.76496422332648
"2014009-041","2","10",3.20944778437933,0.269046649515375,Inf,2.70378617084959,3.7584296572722
"2014009-046","2","10",3.80179317813713,0.292824003755906,Inf,3.2495288066483,4.39737780898909
"2014010-010","2","10",3.35251049634014,0.274977718320854,Inf,2.83522420156183,3.91311705048158
"W1406-001","2","10",3.07309827847626,0.263269564810683,Inf,2.57875954290335,3.6107572734123
"W1411-017","2","10",3.44996364236742,0.278945712164817,Inf,2.92490022256407,4.0183473215339
"W1425-006","2","10",4.06037920924166,0.302618677193415,Inf,3.48891763057497,4.67516104727146
"2014001-005","1","11",4.13194105555902,0.305273769666252,Inf,3.55527559126997,4.75192677921123
"2014005-019","1","11",2.75570458182664,0.255290554363757,Inf,2.2780572125031,3.27877779679556
"2014005-024","1","11",3.39968040237942,0.276905432924608,Inf,2.87861585640527,3.96406520771668
"2014006-046","1","11",2.79046899017212,0.250871329403671,Inf,2.3204303494688,3.30382789023856
