"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"rep",0.000379128279335873,0.000379128279335873,1,14.0008026636004,0.947088148075669,0.346976309518483
"genotype",0.0156714394157854,0.00111938852969896,14,14.0007405881204,2.79630844585593,0.0320710562685398
"image",0.0217237042850024,0.000434474085700049,50,751.764827153432,1.08534572502303,0.322393817471938
"genotype:image",0.281582758043257,0.000402261082918938,700,752.417453203233,1.00487545991551,0.47354434207226
