"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014009-041","2","18",13.5995578127763,1.02882692005737,Inf,11.6578414947131,15.6907689139885
"2014009-046","2","18",11.4431025526329,0.943738821805765,Inf,9.66815584265583,13.367544045759
"2014010-010","2","18",11.9089679699257,0.962757674392422,Inf,10.0967449938515,13.8706857291489
"W1406-001","2","18",8.60058325457016,0.824485197027977,Inf,7.06052759655907,10.2924501804816
"W1411-017","2","18",10.8043261177579,0.917019915912268,Inf,9.0817475010384,12.6763995176264
"W1425-006","2","18",14.3824334275335,1.06614879214794,Inf,12.3687197874476,16.5479462569893
"2014001-005","1","19",15.5413408509364,1.09982647122602,Inf,13.4604679696641,17.7717085153577
"2014005-019","1","19",9.50789891476145,0.86024509196484,Inf,7.89659690820751,11.2686957044644
"2014005-024","1","19",13.5791662157886,1.02805530327344,Inf,11.6389622388317,15.6688649758944
"2014006-046","1","19",9.86786773704411,0.870648118507687,Inf,8.2352019103261,11.6480798212913
"2014007-001","1","19",9.9893763448019,0.881757400247188,Inf,8.33591098879023,11.7923364839625
"2014008-016","1","19",11.3824315026934,0.941233656732696,Inf,9.61239482603484,13.3019629625009
"2014009-010","1","19",11.1039539847989,0.929648455873529,Inf,9.35662388457804,13.0007788681688
"2014009-012","1","19",13.8418333203382,1.03795071696578,Inf,11.8822346889322,15.9509267348931
"2014009-034","1","19",12.3477978784143,0.98033539141032,Inf,10.5011232100546,14.343967329923
"2014009-041","1","19",10.8736831617493,0.919958555735532,Inf,9.14534491681271,12.751516189835
"2014009-046","1","19",10.8831432412381,0.920358649654282,Inf,9.15402082663029,12.7617604389949
"2014010-010","1","19",8.56193788697455,0.81633038531011,Inf,7.03670712385552,10.2366634332426
"W1406-001","1","19",9.28615901933606,0.850154746331828,Inf,7.69463372681438,11.0271790950067
"W1411-017","1","19",10.7985508239547,0.91677479338903,Inf,9.07645263855249,12.6701437925058
"W1425-006","1","19",14.6612347424278,1.06124653797308,Inf,12.6550028803921,16.8150128666822
"2014001-005","2","19",16.0753753990292,1.11856309732884,Inf,13.9577794054036,18.3424661758037
"2014005-019","2","19",9.92658426051494,0.878981718067629,Inf,8.27855914160774,11.7241041625711
"2014005-024","2","19",14.0786457120662,1.04679192937623,Inf,12.1017186227561,16.2050675845253
"2014006-046","2","19",10.2943205717048,0.889231494489952,Inf,8.62522689667077,12.1109503029088
"2014007-001","2","19",10.4184190380608,0.900494026349978,Inf,8.72823056969591,12.2581022895748
"2014008-016","2","19",11.840109721655,0.959970282835485,Inf,10.0333499326432,13.7963642938158
"2014009-010","2","19",11.5560543759588,0.948385081976319,Inf,9.7720011633846,13.4896023716819
"2014009-012","2","19",14.3460770770093,1.05668734306857,Inf,12.3497553332501,16.4918936039175
"2014009-034","2","19",12.8243020759184,0.999072017513111,Inf,10.9409042952055,14.8571946397804
"2014009-041","2","19",11.3211182393731,0.938695181838322,Inf,9.55605688208316,13.2356743798119
"2014009-046","2","19",11.3307709486669,0.939095275757072,Inf,9.56492542170583,13.246111258777
"2014010-010","2","19",8.95947999363658,0.8350670114129,Inf,7.39752611816429,10.6709286522579
"W1406-001","2","19",9.69998625247795,0.868891372434618,Inf,8.07173784760301,11.4777294405019
"W1411-017","2","19",11.2444530426883,0.935511419491821,Inf,9.48563174493284,13.1527691235927
"W1425-006","2","19",15.1800573149261,1.079823294061,Inf,13.137410575082,17.3702401071359
"2014001-005","1","2",16.0181467437156,1.11657026871218,Inf,13.904456622406,18.2813316481741
"2014005-019","1","2",8.741825206325,0.824861407365876,Inf,7.19987394722535,10.4332712485736
"2014005-024","1","2",12.6800552347442,0.993437382577306,Inf,10.8077011355714,14.7019041170659
"2014006-046","1","2",9.44487968231165,0.863972370663693,Inf,7.82742454905874,11.2141340093358
"2014007-001","1","2",10.1529792356111,0.888948649688292,Inf,8.48541928969098,11.9700339646801
"2014008-016","1","2",11.5226189898099,0.94701209643216,Inf,9.74125677945354,13.4534759833151
"2014009-010","1","2",10.7839536618236,0.916154949299426,Inf,9.06307034851308,12.6543317582831
"2014009-012","1","2",14.4367521747454,1.06002150553501,Inf,12.4338955926334,16.5891035400065
"2014009-034","1","2",11.8702201982079,0.961190153663852,Inf,10.0610695063067,13.8288656732581
"2014009-041","1","2",11.9498910051337,0.971815018225085,Inf,10.1210681648907,13.9305130356033
"2014009-046","1","2",12.8311571128418,0.999339001266267,Inf,10.9472360535882,14.8645729552444
"2014010-010","1","2",10.7338055768012,0.914022292094879,Inf,9.01710219480302,12.6000037419484
"W1406-001","1","2",8.82853743361063,0.828942309961672,Inf,7.2785877523988,10.5279818979714
"W1411-017","1","2",12.4502805036469,0.984395214251621,Inf,10.5956487287347,14.4544070617082
"W1425-006","1","2",14.8259845974329,1.07421620075748,Inf,12.7953069239133,17.0061570541015
"2014001-005","2","2",16.5602427851102,1.135306894815,Inf,14.4098295514473,18.8601508019221
"2014005-019","2","2",9.14347467138152,0.843598033468666,Inf,7.5648002999286,10.8716438259834
"2014005-024","2","2",13.1628675361369,1.0121740086801,Inf,11.2537903246109,15.221439530812
"2014006-046","2","2",9.86219015144292,0.88288791575305,Inf,8.20766725979212,11.6685242943153
"2014007-001","2","2",10.5854842383759,0.907685275791083,Inf,8.88120118010257,12.4392620797982
"2014008-016","2","2",11.9830793048265,0.96574872253495,Inf,10.1649939821169,13.9506594106851
"2014009-010","2","2",11.2295574495125,0.934891575402216,Inf,9.47195102384869,13.1366586583252
"2014009-012","2","2",14.9516221656603,1.0787581316378,Inf,12.9120424711949,17.1406966432745
"2014009-034","2","2",12.3375067014594,0.979926779766642,Inf,10.4916328972049,14.3328752888628
"2014009-041","2","2",12.4187279463472,0.990734872376683,Inf,10.552828906142,14.4364382423144
"2014009-046","2","2",13.3168108162266,1.01807562736906,Inf,11.3961666446197,15.3869497709824
"2014010-010","2","2",11.1783825722237,0.932758918197669,Inf,9.4249560778722,13.0813038497241
"W1406-001","2","2",9.23215169601784,0.847678936064461,Inf,7.64547890245275,10.9683192727319
"W1411-017","2","2",12.9287393494122,1.00313184035441,Inf,11.0373844621467,14.9695890198267
"W1425-006","2","2",15.347688787134,1.09295282686027,Inf,13.2802880012612,17.5645843561559
"2014001-005","1","20",16.9818815774659,1.14966902254385,Inf,14.8033190907131,19.3099388473677
"2014005-019","1","20",9.80803684763402,0.873717370305473,Inf,8.17032966074274,11.5952388176743
"2014005-024","1","20",12.9044840835719,1.00219042405256,Inf,11.0149743383524,14.9434886119403
"2014006-046","1","20",9.72440378470893,0.864295989427972,Inf,8.10418790221231,11.4921659247348
"2014007-001","1","20",9.96257266096824,0.869162934532328,Inf,8.33186736405906,11.7389234608201
"2014008-016","1","20",12.5903724869084,0.989917985885428,Inf,10.7249162784991,14.6053234784668
"2014009-010","1","20",11.4563999757141,0.944286997037664,Inf,9.68037886202529,13.3819158725519
"2014009-012","1","20",13.6927743325596,1.0323468832458,Inf,11.7441590134201,15.790884434848
"2014009-034","1","20",11.9812191251407,0.965673761173471,Inf,10.1632807239999,13.9486523094305
"2014009-041","1","20",10.2573589790641,0.893506472859876,Inf,8.58086586387978,12.0833468773973
"2014009-046","1","20",10.7704321883364,0.915580408143856,Inf,9.05067495499842,12.6396842048233
"2014010-010","1","20",9.15437021491448,0.844100507794768,Inf,7.57471101187925,10.8835242010987
"W1406-001","1","20",9.5588231747361,0.856906111488422,Inf,7.95309119378767,11.3121014270868
"W1411-017","1","20",11.1951112198833,0.933456602398321,Inf,9.44031728962594,13.0993999332896
"W1425-006","1","20",17.4941705605396,1.16688109505851,Inf,15.2818730315587,19.8559628726694
"2014001-005","2","20",17.5399133934381,1.16840564864666,Inf,15.324627794332,19.9046937756932
"2014005-019","2","20",10.233208576282,0.892453996408263,Inf,8.55877827703748,12.0571336586755
"2014005-024","2","20",13.3915106371545,1.02092705015535,Inf,11.4652777795818,15.4672382778762
"2014006-046","2","20",10.1477781859211,0.882879585007371,Inf,8.49113402470598,11.9519584033062
"2014007-001","2","20",10.3910454152167,0.887656766669851,Inf,8.72409287338189,12.2036434599943
"2014008-016","2","20",13.0714903344067,1.00865461198822,Inf,11.1693110136441,15.1231644383184
"2014009-010","2","20",11.9155482603784,0.963023623140454,Inf,10.1028040343363,13.8777872695695
"2014009-012","2","20",14.1943200592267,1.05108350934859,Inf,12.208981627734,16.3291532738684
"2014009-034","2","20",12.4506643126415,0.984410387276261,Inf,10.5960027991474,14.4548206092846
"2014009-041","2","20",10.6920583980597,0.912243098962666,Inf,8.97884217052215,12.5547694087462
"2014009-046","2","20",11.2157593565976,0.934317034246646,Inf,9.45927901090639,13.1217344854378
"2014010-010","2","20",9.56528256548839,0.862837133897558,Inf,7.9489002500999,11.3311596640259
"W1406-001","2","20",9.97861619856125,0.875489888862637,Inf,8.33645557001903,11.7683128720185
"W1411-017","2","20",11.6490450868557,0.952193228501112,Inf,9.85752804424511,13.5900569126153
"W1425-006","2","20",18.0604893261957,1.1856177211613,Inf,15.8114686848616,20.4590047506788
"2014001-005","1","21",16.4428704126381,1.13127644012666,Inf,14.3003567250056,18.7348788834195
"2014005-019","1","21",10.2448615907593,0.887123551523211,Inf,8.57990452755897,12.0573649492045
"2014005-024","1","21",14.0325959955972,1.04507855597981,Inf,12.0590270564361,16.1556597179072
"2014006-046","1","21",10.1518510002706,0.883087268137453,Inf,8.49480488827998,11.9564433697905
"2014007-001","1","21",9.93907583489317,0.879534597745933,Inf,8.28996709172871,11.7376793612066
"2014008-016","1","21",12.9113825355897,1.00245826268894,Inf,11.0213478362892,14.9509120180391
"2014009-010","1","21",11.6198218473072,0.950998124354021,Inf,9.83064716578264,13.5584913119807
"2014009-012","1","21",14.0252832874516,1.04480621327207,Inf,12.0522481301891,16.147813227863
"2014009-034","1","21",12.8390319280379,1.00732072887049,Inf,10.9406191727755,14.889243871709
"2014009-041","1","21",9.72742407597405,0.859470866681899,Inf,8.11582119911242,11.4848850880283
"2014009-046","1","21",10.1738368295011,0.896693467667567,Inf,8.49224951852736,12.0072233221289
"2014010-010","1","21",10.5304088937339,0.905320892982825,Inf,8.83075994061044,12.3795526300064
"W1406-001","1","21",9.42563126215107,0.856515345937018,Inf,7.82163942348313,11.179117883968
"W1411-017","1","21",11.1178185191703,0.930228660101294,Inf,9.36935123955929,13.0157805819303
"W1425-006","1","21",15.1533464778899,1.07891017661386,Inf,13.1124945202823,17.3417446977161
"2014001-005","2","21",16.9920469088967,1.15001306622947,Inf,14.8128101089109,19.3207784920314
"2014005-019","2","21",10.6792988625111,0.905706150641404,Inf,8.97791543946353,12.5282183111307
"2014005-024","2","21",14.540271532097,1.0638151820826,Inf,12.5299794805827,16.7000583667603
"2014006-046","2","21",10.5843322222344,0.901670214090421,Inf,8.89085910476966,12.4253413958691
"2014007-001","2","21",10.3670483343989,0.898271223848723,Inf,8.68121647888115,12.2023749730656
"2014008-016","2","21",13.3985380431551,1.02119488879173,Inf,11.4717802315014,15.4747906379578
"2014009-010","2","21",12.0822012811748,0.969734750456812,Inf,10.256303487297,14.0575938582016
"2014009-012","2","21",14.5328277014317,1.06354283937485,Inf,12.523069431816,16.6920807541964
"2014009-034","2","21",13.3248332538374,1.0262420079561,Inf,11.3893415078666,15.4121362578987
"2014009-041","2","21",10.1508635193651,0.878035247609866,Inf,8.50288460313082,11.9447195280749
"2014009-046","2","21",10.6067812282146,0.915610394848015,Inf,8.88812346381309,12.4772502593583
"2014010-010","2","21",10.9707965007744,0.924057519085616,Inf,9.23442443529766,12.8566633494001
"W1406-001","2","21",9.84252087891025,0.875251972039808,Inf,8.20180592788906,11.6327306130804
"W1411-017","2","21",11.5701982563088,0.948965286204084,Inf,9.78500786434454,13.504883431422
"W1425-006","2","21",15.6807293825962,1.09748632155016,Inf,13.6034637450153,17.9055310725427
"2014001-005","1","22",16.8825854556339,1.14630293382167,Inf,14.7106203815453,19.2040453128714
"2014005-019","1","22",8.96637847810667,0.829897545663499,Inf,7.41357719053405,10.6667157912513
"2014005-024","1","22",12.8058852316186,1.00601955675813,Inf,10.9100227230268,14.8535469210046
"2014006-046","1","22",11.2069968201164,0.927845424130949,Inf,9.46222633436405,13.099313563398
"2014007-001","1","22",10.4571337062369,0.90909225706646,Inf,8.75124521680658,12.3148213817556
"2014008-016","1","22",13.0820308487546,1.01684904204881,Inf,11.1649489786756,15.1509239789351
"2014009-010","1","22",10.7221999587502,0.913528028320946,Inf,9.00646531594777,12.5874293847017
"2014009-012","1","22",14.925331377564,1.07780927539636,Inf,12.8876114071584,17.1125461311185
"2014009-034","1","22",11.9966843694253,0.966296801461708,Inf,10.1775248317586,13.965338690241
"2014009-041","1","22",10.5280287872815,0.905218575879555,Inf,8.82858037199546,12.3769719857166
"2014009-046","1","22",12.3888315475557,0.98954165984325,Inf,10.525271166432,14.4042031954216
"2014010-010","1","22",10.1479459549844,0.888728276801636,Inf,8.48081793198532,11.9645687611324
"W1406-001","1","22",8.24522811139619,0.801089912845457,Inf,6.74986812541525,9.8900828805261
"W1411-017","1","22",9.76181591486415,0.87165621765524,Inf,8.12814851293396,11.5449780999433
"W1425-006","1","22",12.7248156315338,0.99518924714216,Inf,10.8490279409081,14.7500981053084
"2014001-005","2","22",17.4389966295917,1.16503955992448,Inf,15.2303084431498,19.7971795991825
"2014005-019","2","22",9.37309630165295,0.848540549594777,Inf,7.78376053264784,11.109978365903
"2014005-024","2","22",13.2910648784805,1.02494084227235,Inf,11.3581233752643,15.3758176495402
"2014006-046","2","22",11.6611691951999,0.946426822766059,Inf,9.87997473666083,13.5898997099091
"2014007-001","2","22",10.8960021541497,0.928009647146928,Inf,9.15304229896717,12.7907732703946
"2014008-016","2","22",13.5723654193991,1.03568908993809,Inf,11.6183516973586,15.6781783282781
"2014009-010","2","22",11.166538985211,0.932264654423737,Inf,9.41408123005525,13.0684915235156
"2014009-012","2","22",15.4487654942519,1.09654590149915,Inf,13.3743224114931,17.6727033601598
"2014009-034","2","22",12.4664295268173,0.985033427564498,Inf,10.6105468767974,14.4718069599863
"2014009-041","2","22",10.9683671325794,0.923955201982345,Inf,9.23219560494003,12.8540334433677
"2014009-046","2","22",12.8661193491655,1.0083827547448,Inf,10.9656250580615,14.9184128219237
"2014010-010","2","22",10.5803448566959,0.907464902904427,Inf,8.87649372134359,12.4336907751972
"W1406-001","2","22",8.63543251782671,0.819826538948247,Inf,7.10334941949251,10.3170103993099
"W1411-017","2","22",10.1859952779333,0.89039284375803,Inf,8.51560476364989,12.0058805753658
"W1425-006","2","22",13.20847138821,1.01392587324495,Inf,11.2959605852311,15.2704769743379
"2014001-005","1","23",13.899463527753,1.04010921652766,Inf,11.9356343149451,16.0127875237098
"2014005-019","1","23",8.55095535985464,0.822103072138087,Inf,7.0155685951667,10.2381534211075
"2014005-024","1","23",12.7644227294717,1.00438960671655,Inf,10.871754864258,14.8088897754796
"2014006-046","1","23",10.6226346313404,0.903331444252434,Inf,8.92591066326765,12.4669048569423
"2014007-001","1","23",9.7983582103867,0.873286168789213,Inf,8.16149616293736,11.584715040985
"2014008-016","1","23",13.2665806049203,1.02395560920673,Inf,11.3355640825266,15.3493963141526
"2014009-010","1","23",10.0404723635389,0.884009634240009,Inf,8.38259271001658,11.8478468002103
"2014009-012","1","23",13.8484835842009,1.03820002704976,Inf,11.8883963140093,15.9580656375414
"2014009-034","1","23",12.4692011813162,0.978667803503699,Inf,10.6248155593875,14.4611228547798
"2014009-041","1","23",11.8324612319318,0.953385530971945,Inf,10.0376330584981,13.7748356666713
"2014009-046","1","23",10.5353640158951,0.912522710484195,Inf,8.82275800164232,12.3997812968901
"2014010-010","1","23",10.8696877959862,0.919789527975695,Inf,9.14168083937124,12.7471895357502
"W1406-001","1","23",9.92436322857556,0.878883378314864,Inf,8.27653085204202,11.7216903882581
"W1411-017","1","23",11.9990308489453,0.96639129777101,Inf,10.1796861019157,13.9678703791239
"W1425-006","1","23",13.7194644959751,1.04132782885063,Inf,11.7544050837583,15.8363351650513
"2014001-005","2","23",14.4047465187899,1.05884584263047,Inf,12.4041941936287,16.5547936271001
"2014005-019","2","23",8.94824531182758,0.840950686492685,Inf,7.37591183271339,10.6723779493132
"2014005-024","2","23",13.2488235975112,1.02331082733946,Inf,11.3190768648578,15.3303815980083
"2014006-046","2","23",11.0649267919844,0.921913690351386,Inf,9.33177719012628,12.9456124500125
"2014007-001","2","23",10.2233223321201,0.892022794892003,Inf,8.54973717231749,12.0464022750717
"2014008-016","2","23",13.7603299634734,1.04287756180919,Inf,11.7922331320932,15.8802380549551
"2014009-010","2","23",10.4705994206802,0.902746260342799,Inf,8.77599665480461,12.3146969697048
"2014009-012","2","23",14.3528473740708,1.05693665315255,Inf,12.356036991526,16.4991525397646
"2014009-034","2","23",12.9480200197686,0.997315790866091,Inf,11.0670901200793,14.9764961827006
"2014009-041","2","23",12.2990111076346,0.971966024376152,Inf,10.4677607322139,14.2777975361615
"2014009-046","2","23",10.9758541626568,0.931366871032098,Inf,9.2263082298672,12.8771992771005
"2014010-010","2","23",11.3170414932567,0.938526154078486,Inf,9.55231142428848,13.2312663453739
"W1406-001","2","23",10.3520221910186,0.897620004417654,Inf,8.66746670213181,12.1860724630544
"W1411-017","2","23",12.468821502669,0.9851279238738,Inf,10.6127536432862,14.4743841452009
"W1425-006","2","23",14.2214944011342,1.06016692330325,Inf,12.2195050085441,16.3752829830941
"2014001-005","1","24",15.0398395572322,1.08193588943702,Inf,12.9940315719288,17.2351423256845
"2014005-019","1","24",8.9999439048844,0.836950603520856,Inf,7.43429825671895,10.7150843361988
"2014005-024","1","24",13.2471893683756,1.02320697745936,Inf,11.3176401342223,15.3285377833231
"2014006-046","1","24",9.73643174740404,0.87052217300881,Inf,8.10498703213772,11.5173712458193
"2014007-001","1","24",10.3469737648658,0.897401104146759,Inf,8.66284731262619,12.1805950002544
"2014008-016","1","24",12.9530162489152,1.00407321247043,Inf,11.0598163062062,14.9957109747732
"2014009-010","1","24",10.8051577631296,0.917055208288924,Inf,9.08250997462294,12.6773003347853
"2014009-012","1","24",15.3860712372852,1.09431863551076,Inf,13.3159935156476,17.6056437420718
"2014009-034","1","24",13.4142172376665,1.02179222380497,Inf,11.4862886709002,15.4916405875818
"2014009-041","1","24",11.7800807303717,0.95753368066651,Inf,9.9780965938558,13.7315596500367
"2014009-046","1","24",12.0287704537683,0.961261710401742,Inf,10.218505256883,13.9865819210926
"2014010-010","1","24",8.49969855478767,0.81335789647176,Inf,6.98029376273625,10.1685981299881
"W1406-001","1","24",8.16001866510304,0.796939772804226,Inf,6.67279280413371,9.79673930922134
"W1411-017","1","24",11.2253832339297,0.934717801782119,Inf,9.46811739830281,13.1321438527056
"W1425-006","1","24",17.4712034833979,1.16611487839792,Inf,15.2604077114761,19.8314940384686
"2014001-005","2","24",15.5652604795703,1.10067251553983,Inf,13.4827293819136,17.797286360376
"2014005-019","2","24",9.40741385205726,0.855687229623646,Inf,7.80504509153855,11.1592773957249
"2014005-024","2","24",13.7405810456135,1.04212894723638,Inf,11.7739514757053,15.8590218833652
"2014006-046","2","24",10.1600651116741,0.8892587991116,Inf,8.49189728405447,11.9777277224426
"2014007-001","2","24",10.7835482987545,0.916137730249549,Inf,9.0626987341616,12.6538926464964
"2014008-016","2","24",13.4409492925717,1.02280983857322,Inf,11.5110262375095,15.5203671307829
"2014009-010","2","24",11.2511949908323,0.935791834391714,Inf,9.49182408997237,13.1600606748412
"2014009-012","2","24",15.9174539747141,1.11305526161355,Inf,13.8106531407232,18.1737495918539
"2014009-034","2","24",13.910681302515,1.04052884990776,Inf,11.9460296233954,16.0248277647836
"2014009-041","2","24",12.2456067827697,0.9762703067693,Inf,10.4068995339005,14.2338088147879
"2014009-046","2","24",12.4991373492453,0.979841876983508,Inf,10.6524505826618,14.4933601615254
"2014010-010","2","24",8.89580952261277,0.83209452257455,Inf,7.33968161820809,10.6014322101664
"W1406-001","2","24",8.54822493902081,0.815676398907016,Inf,7.02427596569822,10.2216686954924
"W1411-017","2","24",11.6799243198077,0.95345442788491,Inf,9.88593537182755,13.6234080509369
"W1425-006","2","24",18.0371533452565,1.18485150450071,Inf,15.7896344609815,20.4341670126805
"2014001-005","1","25",16.5770253134088,1.13588202210972,Inf,14.4254848509617,18.8780605590048
"2014005-019","1","25",8.8245687412308,0.828755971802348,Inf,7.27498427610019,10.5236479895104
"2014005-024","1","25",13.2506791999147,1.01554458661292,Inf,11.3349957770332,15.3158574059451
"2014006-046","1","25",9.72952153124293,0.870213201289766,Inf,8.09868238941817,11.5098554562167
"2014007-001","1","25",9.08624818828898,0.840953966283136,Inf,7.51275609329241,10.8092350664345
"2014008-016","1","25",12.6789437299923,0.993393840394315,Inf,10.80667497193,14.7007072712036
"2014009-010","1","25",10.1574640147642,0.883300819333669,Inf,8.49999424782765,11.9624698346451
"2014009-012","1","25",13.7227810370599,1.0334774202193,Inf,11.7719499061692,15.8231069510996
"2014009-034","1","25",11.9829505866229,0.95942912614798,Inf,10.1762771852755,13.937170251213
"2014009-041","1","25",12.0970719986207,0.977781389602809,Inf,10.256555285359,14.089387902109
"2014009-046","1","25",12.4146554305777,0.982985837411191,Inf,10.5627859835133,14.4160196607911
"2014010-010","1","25",10.381928211658,0.898915639329039,Inf,8.69483332500779,12.2185178814572
"W1406-001","1","25",9.97693776529249,0.881208255560569,Inf,8.3245487130889,11.7788216006451
"W1411-017","1","25",10.5126655264866,0.90455785455134,Inf,8.81451210120769,12.3603137349146
"W1425-006","1","25",15.2406881208347,1.08913625136386,Inf,13.180767685479,17.4501033393393
"2014001-005","2","25",17.1284192199257,1.15461864821254,Inf,14.9401556451252,19.466177577875
"2014005-019","2","25",9.22809328899445,0.847492597905137,Inf,7.64178571151058,10.9638956496273
"2014005-024","2","25",13.744135268195,1.03428121271571,Inf,11.7917287329603,15.8460365865787
"2014006-046","2","25",10.1530061375358,0.888949827392556,Inf,8.48544388335779,11.9700631748628
"2014007-001","2","25",9.49564560037054,0.859690592385926,Inf,7.8854303930207,11.2553555908693
"2014008-016","2","25",13.1617350675018,1.01213046649711,Inf,11.2527431970862,15.2202217210663
"2014009-010","2","25",10.5900635340715,0.901945496810029,Inf,8.89605597505829,12.4316173545898
"2014009-012","2","25",14.2248710737169,1.05221404632209,Inf,12.2373168304729,16.3619201001098
"2014009-034","2","25",12.4524293678442,0.978009398976037,Inf,10.6093341950769,14.4430605921463
"2014009-041","2","25",12.5687596305992,0.996701480863823,Inf,10.6911662526493,14.598164264311
"2014009-046","2","25",12.8924357157018,1.00172246351398,Inf,11.0038431562841,14.9305230582684
"2014010-010","2","25",10.8192319358775,0.917652265431829,Inf,9.09541393687397,12.6925447180299
"W1406-001","2","25",10.405716066545,0.899944881663359,Inf,8.71660390198813,12.2443230142508
"W1411-017","2","25",10.9526857599245,0.92329448065413,Inf,9.21780922229226,12.8370570807057
"W1425-006","2","25",15.7695757399893,1.10787287746665,Inf,13.6729321922804,18.0157140708472
"2014001-005","1","26",15.4292344207138,1.0958525292051,Inf,13.3561503226791,17.6518133018974
"2014005-019","1","26",9.58535275439677,0.863741876111915,Inf,7.96719717685284,11.3530031150897
"2014005-024","1","26",13.4471157960483,1.02304443648169,Inf,11.5167329375346,15.5269934377109
"2014006-046","1","26",8.54984555212009,0.815753715146315,Inf,7.02574504175305,10.2234408456361
"2014007-001","1","26",10.6421519574551,0.910111607807416,Inf,8.93311337581525,12.500685322244
"2014008-016","1","26",12.5665709697155,0.988981846147364,Inf,10.7029495614772,14.5796871611027
"2014009-010","1","26",11.5098599133481,0.94648763465355,Inf,9.72952562918914,13.4396889806561
"2014009-012","1","26",16.5002297419046,1.14194878695772,Inf,14.3379508415895,18.8143078308421
"2014009-034","1","26",12.6335355251526,0.991613380919729,Inf,10.7647564035364,14.6518094299177
"2014009-041","1","26",12.0700828175766,0.969248305842129,Inf,10.245138437624,14.0445219806781
"2014009-046","1","26",10.6409662190082,0.917048181912059,Inf,8.91948440119972,12.5142472184709
"2014010-010","1","26",11.1716468643177,0.932477851669809,Inf,9.41877125023806,13.0740172615463
"W1406-001","1","26",7.35855982334352,0.756791661133031,Inf,5.95002281529703,8.91659161453899
"W1411-017","1","26",12.5574807376265,0.988624083440972,Inf,10.6945605314078,14.5698957269943
"W1425-006","1","26",16.0238099024297,1.11676763099006,Inf,13.9097329581635,18.2873816298448
"2014001-005","2","26",15.9613556688512,1.11458915530792,Inf,13.8515484584632,18.2206576623881
"2014005-019","2","26",10.0057216669757,0.882478502214705,Inf,8.35084297707852,11.8100951400219
"2014005-024","2","26",13.9441827530491,1.04178106258448,Inf,11.9770767821822,16.0607835070651
"2014006-046","2","26",8.94711001431905,0.834490341249105,Inf,7.38628639159876,10.6574284201883
"2014007-001","2","26",11.0848461090833,0.928848233910206,Inf,9.33908441509018,12.9801025862255
"2014008-016","2","26",13.0472381020021,1.00771847225015,Inf,11.1468935814106,15.0970774057426
"2014009-010","2","26",11.9700677202274,0.96522426075634,Inf,10.1530103237152,13.9366198998886
"2014009-012","2","26",17.0503554178997,1.16087541628147,Inf,14.8509870403584,19.4015350532577
"2014009-034","2","26",13.1154696400313,1.01035000702252,Inf,11.2099674060619,15.1704666571498
"2014009-041","2","26",12.5412490105976,0.98798493194492,Inf,10.6795815182918,14.5524112860524
"2014009-046","2","26",11.0836359589526,0.935965919319599,Inf,9.32508209970038,12.994001084947
"2014010-010","2","26",11.6251095005285,0.951214477772599,Inf,9.83551077409559,13.5642030101103
"W1406-001","2","26",7.72743632851642,0.77552828723582,Inf,6.28217620811667,9.32219123206515
"W1411-017","2","26",13.0379756209557,1.00736070954376,Inf,11.1383323023837,15.0871137226767
"W1425-006","2","26",16.566000966156,1.13550425709285,Inf,14.4152009095366,18.8662958059244
"2014001-005","1","27",18.8695601602647,1.21188333708278,Inf,16.5690598576927,21.3195552459857
"2014005-019","1","27",8.67771143066922,0.82814081733131,Inf,7.13048483375799,10.3767371859518
"2014005-024","1","27",11.1993066742276,0.933631496047705,Inf,9.44416995871638,13.1039381728879
"2014006-046","1","27",9.02310412873097,0.838026805161816,Inf,7.45534916410914,10.7403538765018
"2014007-001","1","27",10.708199795252,0.912931428769748,Inf,8.99363446608307,12.5722599075699
"2014008-016","1","27",12.8460767182662,0.999919830097343,Inf,10.9610172554225,14.8806309642589
"2014009-010","1","27",11.808699214565,0.95869608948323,Inf,10.004436798633,13.7624564136461
"2014009-012","1","27",13.4655833454833,1.02374669270305,Inf,11.5338240900678,15.5468373840477
"2014009-034","1","27",11.1929464342164,0.933366347324925,Inf,9.43832940065238,13.0970582509295
"2014009-041","1","27",10.025842184229,0.877589550736127,Inf,8.37957140223042,11.8196592275334
"2014009-046","1","27",10.6468885234518,0.917339854821872,Inf,8.92484107978883,12.520747233857
"2014010-010","1","27",10.7074451494642,0.912899259403799,Inf,8.99294287109393,12.5714422109834
"W1406-001","1","27",9.27669205577745,0.844165494840275,Inf,7.69593122460022,11.004999158357
"W1411-017","1","27",12.0775335694058,0.977030291872276,Inf,10.2384950165587,14.0683833843074
"W1425-006","1","27",14.2292664832096,1.06880773508041,Inf,12.2115415455326,16.4011908798434
"2014001-005","2","27",19.457545771387,1.2306199631856,Inf,17.1203223564617,21.9442639694612
"2014005-019","2","27",9.07790187906246,0.847055162459752,Inf,7.49360991600507,10.8140051386847
"2014005-024","2","27",11.6533247457531,0.952368122150496,Inf,9.86146491788855,13.5946793567666
"2014006-046","2","27",9.43109222552474,0.856763431264606,Inf,7.82661414854964,11.1850650856488
"2014007-001","2","27",11.1522515820175,0.931668054872538,Inf,9.40096314049537,13.0530348066887
"2014008-016","2","27",13.3320100683521,1.01865645620013,Inf,11.4102274931551,15.4032874266981
"2014009-010","2","27",12.2747849220172,0.977432715586021,Inf,10.4337993937319,14.2652652334515
