"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014010-010","2","1",10.7820044073431,0.923105581812624,Inf,9.0486503047942,12.6671576933555
"W1406-001","2","1",11.8111364415141,0.958795018220072,Inf,10.0066801288208,13.7650875373563
"W1411-017","2","1",12.7707468631174,1.00463840329269,Inf,10.8775913678348,14.8157015437138
"W1425-006","2","1",14.4786501730863,1.06155857571488,Inf,12.47278098878,16.6340141405416
"2014001-005","1","10",16.61121029998,1.1458283172165,Inf,14.4413337004646,18.9328981688856
"2014005-019","1","10",8.91090038420208,0.846882607666719,Inf,7.3283376876934,10.6480565080137
"2014005-024","1","10",13.0915421383858,1.00942795892554,Inf,11.1878470854785,15.1447319744421
"2014006-046","1","10",8.94710634999051,0.829033930725692,Inf,7.39600283257109,10.6457561249392
"2014007-001","1","10",10.6442976802259,0.91020335376175,Inf,8.93507927981976,12.503010863781
"2014008-016","1","10",12.6042120665989,0.990461904903524,Inf,10.7376897965036,14.6202291198432
"2014009-010","1","10",11.6854758863772,0.947412671068663,Inf,9.90234919905797,13.6161386266409
"2014009-012","1","10",12.9349552424462,1.00337295477282,Inf,11.0431277796044,14.9762774884369
"2014009-034","1","10",11.5154380815927,0.946716960977863,Inf,9.73465432609737,13.445716620237
"2014009-041","1","10",11.3464932520881,0.939746582834272,Inf,9.57937118671283,13.2631101006123
"2014009-046","1","10",12.6828354333679,0.993546285961963,Inf,10.8102678874834,14.7048977624013
"2014010-010","1","10",10.4514935781872,0.901922257704818,Inf,8.75850582780519,12.2939761117182
"W1406-001","1","10",9.28915748000524,0.850291990903005,Inf,7.69736319306698,11.0304465500925
"W1411-017","1","10",12.3722569130984,0.981305855744833,Inf,10.5236801695948,14.370328439751
"W1425-006","1","10",14.178313983168,1.05049072054384,Inf,12.1941373963831,16.311985353102
"2014001-005","2","10",17.1631678050266,1.16466317339227,Inf,14.956369520851,19.521765268789
"2014005-019","2","10",9.31637197887388,0.865861270934569,Inf,7.69659843293778,11.0907122462174
"2014005-024","2","10",13.5820532861263,1.02816458502833,Inf,11.6416351208657,15.6719662345359
"2014006-046","2","10",9.3533916934063,0.847618745336839,Inf,7.76585750801009,11.0884619349726
"2014007-001","2","10",11.0870360039958,0.92893997986454,Inf,9.34109449123647,12.9824722999042
"2014008-016","2","10",13.0855917901456,1.00919853100631,Inf,11.182346407697,15.1383319557432
"2014009-010","2","10",12.1491470183275,0.966059566573761,Inf,10.3294781916751,14.116362106485
"2014009-012","2","10",13.4225511390043,1.02210958087561,Inf,11.4940005638092,15.5005964973483
"2014009-034","2","10",11.9757563002606,0.965453587080653,Inf,10.158249432412,13.9427579512581
"2014009-041","2","10",11.803455502269,0.958483208937062,Inf,9.99961032454046,13.7567954631465
"2014009-046","2","10",13.165700167544,1.01228291206475,Inf,11.2564095093062,15.2244856089307
"2014010-010","2","10",10.8902448733007,0.920658883807608,Inf,9.16053401056546,12.769450519185
"W1406-001","2","10",9.70305079111971,0.869028617005796,Inf,8.07453339182819,11.4810629735602
