,Length,Width,Area,Perimeter,Openness,Weight,DGCI,Cone Density
Length,,,,,,,,
Width, 0.76***,,,,,,,
Area, 0.96***, 0.90***,,,,,,
Perimeter, 0.91***, 0.91***, 0.96***,,,,,
Openness, 0.10***, 0.60***, 0.31***, 0.51***,,,,
Weight, 0.70***, 0.63***, 0.72***, 0.74***, 0.29***,,,
DGCI,-0.16***,-0.29***,-0.21***,-0.18***,-0.13***, 0.08**  ,,
Cone Density,-0.11***,-0.17***,-0.12***,-0.08**  ,-0.01, 0.56***, 0.31***,
